id,Area(total),Troom,Nbedrooms,Nbwashrooms,Twashrooms,roof,Roof(Area),Lawn(Area),Nfloors,API,ANB,Grade,EXPECTED
1,305,8,2,1,3,NO,0,76,2,63,4,D,3826$
2,344,6,7,7,8,no,0,83,7,97,1,B,4458$
3,294,8,4,3,4,yes,97,78,1,88,4,C,4199$
4,328,5,4,2,4,NO,0,91,5,86,1,D,3462$
5,295,9,5,3,5,NA,,97,4,93,3,C,4543$
6,335,8,6,5,7,NO,0,99,6,75,1,C,4324$
7,322,9,4,1,3,YES,112,78,4,65,4,C,4221$
8,346,8,3,2,4,NO,0,87,2,72,4,D,3438$
9,298,5,5,4,6,NA,,103,6,62,2,D,3357$
10,329,5,7,7,8,NA,,79,6,67,3,B,4073$
11,304,6,7,5,7,NA,,81,8,76,6,B,4413$
12,305,8,8,5,7,NA,,94,8,99,4,A,4917$
13,298,8,6,4,6,NO,0,94,5,97,4,C,4130$
14,307,6,4,1,3,YES,83,106,1,61,1,D,3081$
15,329,6,4,4,5,no,0,90,3,89,2,D,3260$
16,316,7,2,2,3,NA,,86,3,80,4,D,3339$
17,351,6,5,6,7,yes,72,106,6,80,6,C,4373$
18,312,7,3,2,4,no,0,103,4,99,2,D,3608$
19,318,5,3,3,5,no,0,80,3,79,5,D,3447$
20,359,9,5,4,6,yes,92,106,6,80,2,B,4411$
21,346,8,8,6,8,yes,77,89,8,91,5,A,5643$
22,339,6,4,3,4,NA,,103,3,69,3,D,3510$
23,304,8,7,6,8,yes,94,92,8,90,3,A,5224$
24,291,6,4,1,3,NA,,80,3,60,2,D,3609$
25,313,5,2,3,4,NA,,104,2,96,4,D,3551$
26,348,6,4,5,6,yes,108,87,4,80,5,C,4272$
27,349,8,6,4,6,no,0,73,6,87,6,B,4058$
28,328,7,5,5,6,no,0,107,6,66,3,C,3692$
29,318,6,5,3,5,YES,102,72,5,68,1,D,3786$
30,357,9,6,5,6,NA,,75,4,62,3,B,4122$
31,336,6,5,2,4,YES,106,99,2,87,4,C,3598$
32,301,6,3,3,4,yes,95,98,2,85,1,D,3284$
33,339,8,4,1,3,NO,0,102,1,80,3,C,4186$
34,304,6,6,4,5,YES,80,75,3,86,3,D,3294$
35,311,7,7,6,7,YES,118,108,7,85,3,B,4353$
36,339,5,4,4,6,NO,0,96,5,91,2,D,3654$
